,0,1,2
0,89.625,72.5,32.5
1,6.5,27.250000000000004,66.875
2,3.875,0.25,0.625
3,86.875,84.75,42.5
4,13.125,14.499999999999998,56.375
5,0.0,0.75,1.125
6,82.75,76.25,43.25
7,17.0,23.375,56.49999999999999
8,0.25,0.375,0.25
9,96.25,54.75,41.0
10,3.5000000000000004,30.875000000000004,58.875
11,0.25,14.374999999999998,0.125
12,85.375,58.75,27.0
13,14.249999999999998,40.625,72.125
14,0.375,0.625,0.8750000000000001
15,96.25,82.0,36.125
16,3.75,17.5,63.375
17,0.0,0.5,0.5
18,98.875,72.5,36.0
19,1.0,27.0,63.5
20,0.125,0.5,0.5
21,70.0,88.25,28.875
22,23.0,11.625,71.125
23,7.000000000000001,0.125,0.0
24,92.625,66.25,33.0
25,7.124999999999999,28.749999999999996,65.875
26,0.25,5.0,1.125
27,82.5,75.125,58.875
28,17.5,22.5,38.5
29,0.0,2.375,2.625
30,90.625,63.74999999999999,44.875
31,9.125,35.875,54.25
32,0.25,0.375,0.8750000000000001
33,84.125,60.12499999999999,62.625
34,15.875,39.875,37.125
35,0.0,0.0,0.25
36,89.625,79.375,66.625
37,10.125,20.0,30.25
38,0.25,0.625,3.125
39,97.5,78.25,40.0
40,2.5,21.625,59.75
41,0.0,0.125,0.25
42,86.375,69.0,64.0
43,13.625000000000002,30.875000000000004,36.0
44,0.0,0.125,0.0
45,91.0,64.25,46.875
46,8.0,35.0,53.0
47,1.0,0.75,0.125
48,94.25,62.625,32.25
49,5.25,35.75,67.625
50,0.5,1.625,0.125
51,85.0,61.25000000000001,40.5
52,10.375,38.375,59.375
53,4.625,0.375,0.125
54,96.125,51.24999999999999,42.625
55,3.6249999999999996,47.75,57.125
56,0.25,1.0,0.25
57,93.0,81.5,44.5
58,6.625,18.125,54.50000000000001
59,0.375,0.375,1.0
60,96.375,84.5,24.25
61,2.0,15.125,75.75
62,1.625,0.375,0.0
63,95.0,63.74999999999999,52.625
64,4.875,33.875,46.75
65,0.125,2.375,0.625
66,77.5,68.75,32.375
67,22.375,31.0,67.25
68,0.125,0.25,0.375
69,88.25,58.5,54.0
70,8.0,40.25,45.75
71,3.75,1.25,0.25
72,93.375,72.125,45.625
73,5.625,27.0,54.125
74,1.0,0.8750000000000001,0.25
75,89.375,58.875,66.125
76,10.5,40.875,33.75
77,0.125,0.25,0.125
78,87.625,85.0,49.0
79,12.375,12.875,49.25
80,0.0,2.125,1.7500000000000002
81,84.5,87.5,28.000000000000004
82,13.375,12.375,64.375
83,2.125,0.125,7.625
84,79.375,75.875,30.5
85,18.875,24.0,69.5
86,1.7500000000000002,0.125,0.0
87,89.75,63.87500000000001,51.37500000000001
88,10.25,35.875,48.5
89,0.0,0.25,0.125
90,95.375,76.5,57.49999999999999
91,3.25,23.375,42.5
92,1.375,0.125,0.0
93,95.5,77.75,25.124999999999996
94,2.125,21.375,73.75
95,2.375,0.8750000000000001,1.125
96,98.25,59.5,51.125
97,1.625,40.0,48.625
98,0.125,0.5,0.25
99,95.375,70.375,67.875
100,4.5,29.625,32.125
101,0.125,0.0,0.0
102,99.125,85.25,58.75
103,0.8750000000000001,14.75,39.5
104,0.0,0.0,1.7500000000000002
105,87.125,74.5,74.25
106,12.75,25.374999999999996,25.374999999999996
107,0.125,0.125,0.375
108,83.375,61.25000000000001,53.125
109,7.75,38.75,44.75
110,8.875,0.0,2.125
111,92.75,73.875,34.875
112,7.000000000000001,25.5,64.875
113,0.25,0.625,0.25
114,81.875,45.0,34.75
115,18.0,48.0,59.25
116,0.125,7.000000000000001,6.0
117,91.25,69.5,54.0
118,8.625,30.375000000000004,45.625
119,0.125,0.125,0.375
120,94.0,64.75,36.625
121,4.875,35.0,63.24999999999999
122,1.125,0.25,0.125
123,80.0,75.75,51.5
124,20.0,24.125,48.125
125,0.0,0.125,0.375
126,84.375,53.25,53.5
127,15.5,36.625,46.25
128,0.125,10.125,0.25
129,93.0,66.75,46.5
130,6.875000000000001,32.875,53.37499999999999
131,0.125,0.375,0.125
132,94.875,66.875,44.5
133,5.0,32.875,55.25
134,0.125,0.25,0.25
135,85.125,74.625,28.999999999999996
136,14.875,25.124999999999996,70.125
137,0.0,0.25,0.8750000000000001
138,86.125,63.87500000000001,33.25
139,13.25,35.75,66.75
140,0.625,0.375,0.0
141,88.5,77.0,72.375
142,11.5,23.0,27.375
143,0.0,0.0,0.25
144,97.125,58.75,33.5
145,1.375,40.5,65.625
146,1.5,0.75,0.8750000000000001
147,95.0,83.75,85.25
148,4.875,16.0,14.625
149,0.125,0.25,0.125
150,83.5,44.25,43.625
151,16.25,55.25,46.5
152,0.25,0.5,9.875
153,86.75,80.0,34.0
154,6.375,19.5,65.875
155,6.875000000000001,0.5,0.125
156,84.625,77.875,60.12499999999999
157,14.625,21.875,38.5
158,0.75,0.25,1.375
159,97.875,70.375,73.125
160,1.7500000000000002,29.25,26.5
161,0.375,0.375,0.375
162,94.375,73.25,46.5
163,5.625,26.5,53.25
164,0.0,0.25,0.25
165,95.125,79.25,72.625
166,4.25,20.375,26.875
167,0.625,0.375,0.5
168,96.625,66.5,60.0
169,3.375,33.375,40.0
170,0.0,0.125,0.0
171,92.25,74.625,27.625
172,7.75,25.25,71.875
173,0.0,0.125,0.5
174,87.125,73.375,51.37500000000001
175,12.75,26.5,48.5
176,0.125,0.125,0.125
177,88.25,60.25,24.875
178,10.875,39.375,75.125
179,0.8750000000000001,0.375,0.0
180,95.0,60.375,51.5
181,4.875,38.375,47.875
182,0.125,1.25,0.625
183,84.25,59.12500000000001,45.0
184,15.125,35.625,53.75
185,0.625,5.25,1.25
186,91.5,85.0,30.0
187,8.375,12.875,69.75
188,0.125,2.125,0.25
189,79.375,77.125,28.125
190,20.375,22.75,71.125
191,0.25,0.125,0.75
192,97.875,57.75,71.5
193,1.25,41.5,28.249999999999996
194,0.8750000000000001,0.75,0.25
195,94.625,75.625,50.375
196,5.375,24.125,49.625
197,0.0,0.25,0.0
198,87.125,46.375,42.875
199,12.375,53.37499999999999,56.375
200,0.5,0.25,0.75
201,89.375,83.125,42.125
202,10.5,16.625,57.49999999999999
203,0.125,0.25,0.375
204,84.375,72.875,50.5
205,15.625,25.0,49.25
206,0.0,2.125,0.25
207,85.125,84.625,25.5
208,14.625,15.25,70.125
209,0.25,0.125,4.375
210,95.375,72.625,44.75
211,4.625,27.125,55.125
212,0.0,0.25,0.125
213,85.125,63.625,49.25
214,14.374999999999998,35.25,50.375
215,0.5,1.125,0.375
216,89.875,74.25,40.625
217,10.125,21.125,59.25
218,0.0,4.625,0.125
219,94.5,70.625,19.0
220,5.25,28.875,81.0
221,0.25,0.5,0.0
222,95.125,67.875,40.125
223,4.875,32.125,58.875
224,0.0,0.0,1.0
225,95.25,73.625,50.875
226,4.5,25.874999999999996,45.0
227,0.25,0.5,4.125
228,86.5,69.125,60.12499999999999
229,13.125,24.625,39.375
230,0.375,6.25,0.5
231,93.75,74.625,55.125
232,6.25,24.875,43.75
233,0.0,0.5,1.125
234,83.875,62.875,36.0
235,14.75,36.0,63.625
236,1.375,1.125,0.375
237,91.125,76.25,27.875
238,8.625,21.875,72.0
239,0.25,1.875,0.125
240,88.875,64.375,42.0
241,11.125,35.125,56.875
242,0.0,0.5,1.125
243,86.5,72.125,46.0
244,11.25,26.125,53.5
245,2.25,1.7500000000000002,0.5
246,93.5,75.25,39.25
247,6.125,24.75,60.62499999999999
248,0.375,0.0,0.125
249,88.5,74.0,43.375
250,11.25,26.0,56.49999999999999
251,0.25,0.0,0.125
252,98.125,67.375,31.125000000000004
253,1.7500000000000002,24.5,59.62499999999999
254,0.125,8.125,9.25
255,93.625,59.0,19.375
256,6.375,40.875,79.875
257,0.0,0.125,0.75
258,94.125,62.25000000000001,34.125
259,3.5000000000000004,37.375,65.375
260,2.375,0.375,0.5
261,94.75,60.75000000000001,38.375
262,5.125,38.875,61.25000000000001
263,0.125,0.375,0.375
264,89.125,76.0,61.12499999999999
265,10.625,23.5,38.125
266,0.25,0.5,0.75
267,85.0,54.37499999999999,53.87499999999999
268,14.124999999999998,35.25,45.75
269,0.8750000000000001,10.375,0.375
270,81.625,84.0,38.75
271,12.25,15.75,56.375
272,6.125,0.25,4.875
273,88.5,77.0,56.625
274,8.375,21.625,43.0
275,3.125,1.375,0.375
276,92.0,92.0,49.0
277,7.875,8.0,48.5
278,0.125,0.0,2.5
279,87.875,61.375,31.624999999999996
280,12.125,38.375,68.25
281,0.0,0.25,0.125
282,93.25,85.875,55.125
283,6.75,13.625000000000002,44.375
284,0.0,0.5,0.5
285,91.125,84.5,58.375
286,8.875,15.125,41.625
287,0.0,0.375,0.0
288,91.5,63.125,41.25
289,8.5,36.625,58.62500000000001
290,0.0,0.25,0.125
291,88.5,76.625,63.0
292,11.375,12.75,36.25
293,0.125,10.625,0.75
294,90.375,76.25,42.75
295,7.875,23.125,56.99999999999999
296,1.7500000000000002,0.625,0.25
297,91.875,82.0,39.75
298,7.5,18.0,60.12499999999999
299,0.625,0.0,0.125
